season,shot_type,fga,fgm,pps,fg_pct,rate
1996-97,dunk,9046,8537,1.88746407251824,0.94373203625912,0.047966742492934374
1996-97,3pt_all,39941,14382,1.0802433589544578,0.3600811196514859,0.21178859848665615
1996-97,corner,5757,2293,1.1948931735278792,0.398297724509293,0.03052670092105054
1996-97,3pt_above,34189,12091,1.0609552780133962,0.3536517593377987,0.18128841024662096
1996-97,mid,75296,30308,0.8050361240968976,0.4025180620484488,0.399259765946052
1997-98,dunk,10023,9327,1.86111942532176,0.93055971266088,0.05288177443862907
1997-98,3pt_all,30233,10450,1.0369463830913241,0.34564879436377466,0.1595105942934324
1997-98,corner,5566,2071,1.1162414660438376,0.3720804886812792,0.02936645281107547
1997-98,3pt_above,24679,8383,1.01904453178816,0.33968151059605334,0.130207453992909
1997-98,mid,69843,27175,0.7781739043282792,0.3890869521641396,0.36849463954077327
1998-99,dunk,5074,4683,1.8458809617658651,0.9229404808829326,0.044753345034707216
1998-99,3pt_all,19079,6463,1.0162482310393626,0.3387494103464542,0.16827928063011016
1998-99,corner,4130,1543,1.120823244552058,0.3736077481840194,0.036427141307319826
1998-99,3pt_above,14952,4923,0.987760834670947,0.32925361155698235,0.13187859971599178
1998-99,mid,42028,15980,0.7604454173408204,0.3802227086704102,0.37069246849008175
1999-00,dunk,9088,8325,1.8320862676056338,0.9160431338028169,0.0465526073148243
1999-00,3pt_all,32615,11513,1.0589912616894066,0.3529970872298022,0.16706792336850732
1999-00,corner,7822,3015,1.1563538736895935,0.3854512912298645,0.04006761602294847
1999-00,3pt_above,24806,8502,1.0282189792792067,0.3427396597597355,0.12706689888331113
1999-00,mid,74648,29478,0.7897867323973851,0.39489336619869253,0.38237885462555066
2000-01,dunk,8777,7932,1.807451293152558,0.903725646576279,0.04579415846646701
2000-01,3pt_all,32596,11524,1.0606209350840594,0.35354031169468647,0.17007022779685071
2000-01,corner,8085,3079,1.1424860853432282,0.3808286951144094,0.042183635775479754
2000-01,3pt_above,24524,8448,1.0334366335018756,0.3444788778339586,0.12795441975978544
2000-01,mid,72687,28417,0.7819004773893543,0.39095023869467715,0.3792457555488308
2001-02,dunk,9323,8451,1.8129357502949695,0.9064678751474847,0.04824295863928259
2001-02,3pt_all,35063,12395,1.0605196360836209,0.35350654536120696,0.1814376122245163
2001-02,corner,8562,3276,1.1478626489138053,0.3826208829712684,0.0443050747473493
2001-02,3pt_above,26523,9124,1.0320099536251555,0.34400331787505184,0.1372463790614279
2001-02,mid,71739,28091,0.7831444542020379,0.39157222710101897,0.37122188242234194
2002-03,dunk,9046,8255,1.8251160734026088,0.9125580367013044,0.0470878511678266
2002-03,3pt_all,34913,12200,1.0483201099876838,0.34944003666256124,0.18173536898323348
2002-03,corner,9276,3414,1.1041397153945667,0.3680465717981889,0.04828508815307976
2002-03,3pt_above,25642,8787,1.0280399344824898,0.3426799781608299,0.13347630772113747
2002-03,mid,70958,27455,0.7738380450407283,0.38691902252036414,0.36936322608519123
2003-04,dunk,8915,8131,1.824116657319125,0.9120583286595625,0.046969752849006605
2003-04,3pt_all,35493,12322,1.04150114107007,0.3471670470233567,0.1869991517520798
2003-04,corner,9568,3610,1.1318979933110367,0.3772993311036789,0.050410162115456555
2003-04,3pt_above,25934,8716,1.008251715894193,0.3360839052980643,0.13663640722222514
2003-04,mid,67657,25849,0.7641190120756167,0.38205950603780836,0.356459065452074
2004-05,dunk,10021,9152,1.826564215148189,0.9132821075740944,0.050706890793721475
2004-05,3pt_all,38748,13777,1.066661505109941,0.35555383503664706,0.19606731907744931
2004-05,corner,10848,4156,1.1493362831858407,0.3831120943952802,0.05489156285104187
2004-05,3pt_above,27913,9625,1.034464228137427,0.34482140937914235,0.14124153704472084
2004-05,mid,70034,27469,0.7844475540451781,0.39222377702258904,0.35437644844301863
2005-06,dunk,9437,8633,1.8296068665889584,0.9148034332944792,0.048565723519664046
2005-06,3pt_all,39313,14086,1.0749116068476077,0.3583038689492026,0.20231686857354592
2005-06,corner,11077,4307,1.1664710661731517,0.38882368872438383,0.0570056712331587
2005-06,3pt_above,28257,9787,1.0390699649644335,0.34635665498814455,0.1454192698415966
2005-06,mid,66926,26627,0.7957146699339569,0.39785733496697845,0.3444219150447214
2006-07,dunk,9077,8321,1.8334251404649113,0.9167125702324557,0.046294218450365174
2006-07,3pt_all,41671,14926,1.0745602457344436,0.35818674857814786,0.21252907095352727
2006-07,corner,11708,4496,1.1520327980867782,0.3840109326955928,0.05971275857848137
2006-07,3pt_above,29975,10436,1.0444703919933278,0.34815679733110927,0.15287751438247174
2006-07,mid,64759,25839,0.7980049105143686,0.3990024552571843,0.3302817332408503
2007-08,dunk,10128,9261,1.8287914691943128,0.9143957345971564,0.050513463773248016
2007-08,3pt_all,44544,16124,1.0859375,0.3619791666666667,0.22216348048139412
2007-08,corner,12162,4806,1.1854958066107548,0.3951652688702516,0.06065805158079012
2007-08,3pt_above,32400,11324,1.0485185185185186,0.3495061728395062,0.16159520401394506
2007-08,mid,65986,26528,0.8040493438002,0.4020246719001,0.329105590495808
2008-09,dunk,10242,9361,1.8279632884202304,0.9139816442101152,0.05145957895794604
2008-09,3pt_all,44559,16344,1.1003837608563927,0.3667945869521309,0.22388082198663517
2008-09,corner,12691,5003,1.1826491214246315,0.39421637380821056,0.06376425664472693
2008-09,3pt_above,31884,11345,1.0674633044787354,0.3558211014929118,0.16019695523287947
2008-09,mid,63990,25686,0.8028129395218003,0.40140646976090016,0.32150932020298445
2009-10,dunk,9624,8785,1.8256442227763923,0.9128221113881961,0.04788869759063722
2009-10,3pt_all,44599,15812,1.0636112917329985,0.35453709724433285,0.22192311137207288
2009-10,corner,11896,4651,1.1729152656355077,0.3909717552118359,0.0591940925330653
2009-10,3pt_above,32713,11162,1.0236297496408155,0.34120991654693855,0.16277877849984573
2009-10,mid,63169,25277,0.8002976143361459,0.40014880716807294,0.31432680154852066
2010-11,dunk,9748,8907,1.8274517849815346,0.9137258924907673,0.04879831398521233
2010-11,3pt_all,44284,15875,1.075444855929907,0.3584816186433023,0.22168491347159855
2010-11,corner,12345,4867,1.1827460510328067,0.39424868367760224,0.061798849625302237
2010-11,3pt_above,31955,11013,1.0339227038022218,0.3446409012674073,0.159966159560675
2010-11,mid,61950,24801,0.800677966101695,0.4003389830508475,0.3101205941099614
2011-12,dunk,8111,7324,1.8059425471581803,0.9029712735790901,0.05031481653794857
2011-12,3pt_all,36375,12682,1.045938144329897,0.34864604810996563,0.22564436586954498
2011-12,corner,9789,3679,1.1274900398406376,0.3758300132802125,0.06072392295524332
2011-12,3pt_above,26591,9004,1.0158324245045316,0.3386108081681772,0.16495145932198133
2011-12,mid,48783,18893,0.7745731094848616,0.3872865547424308,0.30261468316739554
2012-13,dunk,10448,9527,1.823698315467075,0.9118491577335375,0.05183079586663293
2012-13,3pt_all,49037,17596,1.0764932601912842,0.358831086730428,0.2432644273461025
2012-13,corner,13530,5273,1.169179600886918,0.38972653362897264,0.06712008691381542
2012-13,3pt_above,35519,12327,1.0411610687237816,0.34705368957459387,0.17620387044285368
2012-13,mid,57083,22416,0.7853826883660634,0.3926913441830317,0.2831792994309923
2013-14,dunk,9844,9038,1.8362454286875254,0.9181227143437627,0.048225115859812075
2013-14,3pt_all,52928,19041,1.07925861547763,0.3597528718258767,0.2592908301735203
2013-14,corner,13516,5275,1.170834566439775,0.3902781888132584,0.06621400507529664
2013-14,3pt_above,39423,13766,1.0475610684118408,0.3491870228039469,0.19313071338291055
2013-14,mid,54720,21593,0.7892178362573099,0.39460891812865495,0.2680697216425149
2014-15,dunk,9681,8802,1.8184071893399443,0.9092035946699721,0.04709802967647774
2014-15,3pt_all,55117,19292,1.0500571511511876,0.35001905038372916,0.2681440038919971
2014-15,corner,14361,5539,1.1570921245038646,0.3856973748346215,0.06986621260034055
2014-15,3pt_above,40764,13755,1.012290256108331,0.33743008536944363,0.19831671126246656
2014-15,mid,53776,21274,0.7912079738173162,0.3956039869086581,0.26162004378496717
2015-16,dunk,10151,9227,1.817948970544774,0.908974485272387,0.04882800286685939
2015-16,3pt_all,59085,20905,1.0614369129220613,0.35381230430735383,0.2842087035157509
2015-16,corner,15224,5742,1.1315028901734103,0.37716763005780346,0.07322997888336788
2015-16,3pt_above,43873,15166,1.0370387254119846,0.3456795751373282,0.2110364466336048
2015-16,mid,51133,20384,0.7972933330725754,0.3986466665362877,0.24595825737278312
2016-17,dunk,10610,9643,1.8177191328934967,0.9088595664467484,0.05054089716046854
2016-17,3pt_all,66237,23677,1.0723764663254676,0.3574588221084892,0.3155209618490061
2016-17,corner,15671,6068,1.1616361431944355,0.38721204773147855,0.07464904801147054
2016-17,3pt_above,50570,17609,1.044631204271307,0.348210401423769,0.2408909678986705
2016-17,mid,46575,18747,0.8050241545893719,0.40251207729468597,0.22186072434013404
2017-18,dunk,11132,9930,1.7840459935321595,0.8920229967660798,0.05258210640177226
2017-18,3pt_all,71339,25807,1.0852549096567095,0.3617516365522365,0.3369704355547998
2017-18,corner,15609,6140,1.1800884105323852,0.39336280351079506,0.07372925788944154
2017-18,3pt_above,55730,19667,1.058693701776422,0.35289790059214066,0.26324117766535826
2017-18,mid,40336,16271,0.806773105910353,0.4033865529551765,0.19052747429230021
2018-19,dunk,12735,11394,1.789399293286219,0.8946996466431095,0.05802932679601564
2018-19,3pt_all,78742,27955,1.0650605775824846,0.35502019252749484,0.35880213981718595
2018-19,corner,17883,6832,1.1461164234188894,0.3820388078062965,0.08148711826408697
2018-19,3pt_above,60859,21123,1.0412428728700767,0.3470809576233589,0.277315021553099
2018-19,mid,33276,13405,0.8056857795408102,0.4028428897704051,0.15162810196028398
2019-20,dunk,11041,9896,1.7925912507925006,0.8962956253962503,0.05869250887750112
2019-20,3pt_all,72252,25862,1.0738249460222555,0.3579416486740851,0.384082162070212
2019-20,corner,16247,6320,1.166984674093679,0.3889948913645596,0.08636692253715793
2019-20,3pt_above,56005,19542,1.0467993929113473,0.3489331309704491,0.29771523953305407
2019-20,mid,25066,10145,0.8094630176334477,0.4047315088167239,0.1332475706478981
2020-21,dunk,10226,9089,1.7776256600821436,0.8888128300410718,0.053544032714953685
2020-21,3pt_all,74822,27427,1.099689930769025,0.3665633102563417,0.39177308975144387
2020-21,corner,17633,6931,1.1792094368513582,0.39306981228378607,0.09232758936659284
2020-21,3pt_above,57189,20496,1.0751717987724911,0.3583905995908304,0.299445500384851
2020-21,mid,24558,10183,0.8293020604283736,0.4146510302141868,0.12858736117874367
2021-22,dunk,12528,11114,1.7742656449553,0.88713282247765,0.05780677550041066
2021-22,3pt_all,86535,30598,1.0607730975905703,0.3535910325301901,0.3992903350836556
2021-22,corner,21468,8226,1.1495248742314141,0.3831749580771381,0.0990577790902631
2021-22,3pt_above,65067,22372,1.0314906173636404,0.3438302057878802,0.30023255599339244
2021-22,mid,27712,11264,0.812933025404157,0.4064665127020785,0.12786888271610636
2022-23,dunk,13077,11662,1.78358950829701,0.891794754148505,0.0602021931884098
2022-23,3pt_all,84164,30359,1.0821372558338482,0.3607124186112827,0.38746328573138505
2022-23,corner,21003,8092,1.1558348807313241,0.385278293577108,0.09669088197110737
2022-23,3pt_above,63161,22267,1.0576304998337582,0.35254349994458606,0.2907724037602777
2022-23,mid,25762,10833,0.8410061330642031,0.42050306653210157,0.11859974771888149
2023-24,dunk,13019,11595,1.7812427989860973,0.8906213994930486,0.05952876301434378
2023-24,3pt_all,86355,31579,1.0970644432864338,0.36568814776214464,0.3948541616179167
2023-24,corner,22150,8633,1.169255079006772,0.3897516930022573,0.10127982953895959
2023-24,3pt_above,64205,22946,1.0721594891363602,0.3573864963787867,0.2935743320789571
2023-24,mid,24590,10293,0.8371695811305409,0.4185847905652704,0.11243661437304814
2024-25,dunk,13379,11801,1.7641079303385903,0.8820539651692951,0.060944667398543234
2024-25,3pt_all,92455,33304,1.080655454004651,0.360218484668217,0.4211554842912261
2024-25,corner,23585,9149,1.16374814500742,0.3879160483358067,0.1074355318480187
2024-25,3pt_above,68870,24155,1.052199796718455,0.35073326557281836,0.31371995244320744
2024-25,mid,21401,8925,0.8340731741507407,0.41703658707537034,0.09748686949669061
